DATAFLOW,REF_AREA,INDICATOR,SEX,TIME_PERIOD,OBS_VALUE,UNIT_MULTIPLIER,UNIT_MEASURE,OBS_STATUS,OBS_CONF,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,TIME_PERIOD_METHOD,REF_PERIOD,COVERAGE_TIME,AGE,year,iso3
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SLE: Sierra Leone,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,78.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Demographic and Health Survey 2019,Statcompiler,,EOF: End of fieldwork,,2008-2019,Y15T49: 15 to 49 years old,2019,SLE
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SOM: Somalia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,24.4,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Directorate of National Statistics; Federal Government of Somalia. The Somali Health and Demographic Survey 2020.,,,EOF: End of fieldwork,,2006-2019,Y15T49: 15 to 49 years old,2019,SOM
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SRB: Serbia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,96.6,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2019,,,EOF: End of fieldwork,,2010-2019,Y15T49: 15 to 49 years old,2019,SRB
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SSD: South Sudan,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2020,31.1,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,The South Sudan LQAS 2020 Household Survey,,,EOF: End of fieldwork,,2010-2023,Y15T49: 15 to 49 years old,2020,SSD
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SUR: Suriname,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2018,67.5,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2018,,,EOF: End of fieldwork,,2010-2018,Y15T49: 15 to 49 years old,2018,SUR
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SWZ: Eswatini,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2022,73.5,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Central Statistical Office (CSO). 2023. Eswatini Multiple Indicator Cluster Survey 2021-2022; Survey Findings Report. Mbabane; Eswatini: Central Statistical Office (CSO).,,,EOF: End of fieldwork,,2007-2022,Y15T49: 15 to 49 years old,2022,SWZ
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TCA: Turks and Caicos Islands,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2020,93.2,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2019-2020,,,EOF: End of fieldwork,,2020,Y15T49: 15 to 49 years old,2020,TCA
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,THA: Thailand,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2022,88.3,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicators Survey 2022,,,EOF: End of fieldwork,,2009-2022,Y15T49: 15 to 49 years old,2022,THA
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TKM: Turkmenistan,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,97.6,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey; 2019. Survey Report. Ashgabat; Turkmenistan; State Committee for Statistics of Turkmenistan and UNICEF.,,,EOF: End of fieldwork,,2000-2019,Y15T49: 15 to 49 years old,2019,TKM
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TLS: Timor-Leste,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2020,83.1,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Food and Nutrition Survey 2020,,,EOF: End of fieldwork,,2003-2020,Y15T49: 15 to 49 years old,2020,TLS
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TON: Tonga,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,88.5,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2019,,,EOF: End of fieldwork,,2012-2019,Y15T49: 15 to 49 years old,2019,TON
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TUN: Tunisia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2018,84.1,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2018,,,EOF: End of fieldwork,,2006-2018,Y15T49: 15 to 49 years old,2018,TUN
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TUR: Türkiye,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2018,89.7,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Turkey Demographic and Health Survey 2018. Hacettepe University Institute of Population Studies; T.R. Presidency of Turkey Directorate of Strategy and Budget and TÜBİTAK; Ankara; Turkey.,,,EOF: End of fieldwork,,2003-2018,Y15T49: 15 to 49 years old,2018,TUR
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TUV: Tuvalu,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2020,60.3,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2019-2020,,,EOF: End of fieldwork,,2007-2020,Y15T49: 15 to 49 years old,2020,TUV
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TZA: United Republic of Tanzania,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2022,65.1,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Demographic and Health Survey 2022,,,EOF: End of fieldwork,,2005-2022,Y15T49: 15 to 49 years old,2022,TZA
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UGA: Uganda,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2018,56.7,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Uganda Malaria Indicator Survey 2018-19. Kampala; Uganda; and Rockville; Maryland; USA: NMCD; UBOS; and ICF.,,,EOF: End of fieldwork,,2001-2018,Y15T49: 15 to 49 years old,2018,UGA
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,URY: Uruguay,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2022,97.3,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,MSP Estadísticas Vitales; 2022,,,EOF: End of fieldwork,,2007-2022,Y15T49: 15 to 49 years old,2022,URY
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UZB: Uzbekistan,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2022,89.5,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2021-2022,,,EOF: End of fieldwork,,2022,Y15T49: 15 to 49 years old,2022,UZB
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,VNM: Viet Nam,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2021,88.2,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Viet Nam Sustainable Development Goal on Children and Women Survey 2020-2021 (Key Indicators),,,EOF: End of fieldwork,,2002-2021,Y15T49: 15 to 49 years old,2021,VNM
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WSM: Samoa,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2021,69.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicators Survey 2021,,,EOF: End of fieldwork,,2009-2021,Y15T49: 15 to 49 years old,2021,WSM
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,XKX: Kosovo (UNSCR 1244),MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2020,94.4,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2019-2020,,,EOF: End of fieldwork,,2014-2020,Y15T49: 15 to 49 years old,2020,XKX
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ZMB: Zambia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,63.5,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Demographic and Health Survey 2018-2019,,,EOF: End of fieldwork,,2002-2019,Y15T49: 15 to 49 years old,2019,ZMB
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ZWE: Zimbabwe,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,_T: Total,2019,71.5,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2019,,,EOF: End of fieldwork,,2006-2019,Y15T49: 15 to 49 years old,2019,ZWE
